Crop,Min Price,Max Price,FQP,Quantity
Dated:10-07-2025,Min,Max,FQP,Quantity
1Wheat,5625,5750,5688,-
2Rice Basmati Super (New),-,-,-,-
3Rice (IRRI),-,-,-,-
4Paddy Basmati,-,-,-,-
5Paddy (IRRI),-,-,-,-
6Sugar,-,-,-,-
7Gram White(local),-,-,-,-
8Gram Black,29000,29500,29250,-
9Gram Pulse,29000,29500,29250,-
10Moong,-,-,-,-
11Moong Pulse,36000,36500,36250,-
12Mash,-,-,-,-
13Mash Pulse(Imported) washed,40000,40500,40250,-
14Masoor Whole(local),-,-,-,-
15Masoor Pulse(local),-,-,-,-
16Maize,4500,5625,5063,-
17Millet,-,-,-,-
18Sorghum,-,-,-,-
19RapeSeed (Torya),-,-,-,-
20Red Chilli Whole (Dry),25000,36250,30625,-
21Seed Cotton(Phutti),-,-,-,-
22Banola,-,-,-,-
23Banola Cake,-,-,-,-
24Green Fodder,700,750,725,-
25Wheat Straw,1350,1400,1375,-
26Rice Basmati Super (Old),29000,30000,29500,-
27Rice Basmati (385),-,-,-,-
28Groundnut,-,-,-,-
29Jaggery (گڑ),15000,21250,18125,-
30Mash Pulse(local),-,-,-,-
31Gram White(Imported),32500,33000,32750,-
32Masoor Whole (Imported),23500,24000,23750,-
33Masoor Pulse (Imported),24000,24500,24250,-
34Gram Flour (بیسن),27500,28000,27750,-
35Paddy Kainat,-,-,-,-
36Rice Kainat (New),-,-,-,-
37Sunflower,-,-,-,-
38Canola,16250,17500,16875,-
39Sesame(تِل),21250,27500,24375,-
40Mustard seed,15000,16250,15625,-
41Brown Sugar(شکر),17500,22500,20000,-
42Barley(جو),-,-,-,-
43Potato Fresh,7100,7300,7200,-
44Potato Store,5300,5500,5400,-
45Onion,3600,3800,3700,-
46Garlic (China),37800,38000,37900,-
47Ginger(China),-,-,-,-
48Tomato,5300,5500,5400,-
49Spinach,2800,3000,2900,-
50Brinjal,6000,6200,6100,-
51Lady Finger/Okra (بھنڈی توری),12800,13000,12900,-
52Bitter Gourd (کریلا),7800,8000,7900,-
53Tinda Desi,-,-,-,-
54Pumpkin,5300,5500,5400,-
55Cauliflower,17300,17500,17400,-
56Peas,-,-,-,-
57Turnip,-,-,-,-
58Radish,-,-,-,-
59Carrot,-,-,-,-
60Cabbage,-,-,-,-
61Ginger (Thai),41800,42000,41900,-
62Garlic (Local),13800,14000,13900,-
63Cucumber (Kheera),3700,3900,3800,-
64Green Chilli,11300,11500,11400,-
65Capsicum (شملہ مرچ),14300,14500,14400,-
66Bottle Gourd (کدو),-,-,-,-
67Zucchini (گھیا توری),10800,11000,10900,-
68Fenugreek(میتھی),-,-,-,-
69Mongray,-,-,-,-
70Cocoyam(اروی),11300,11500,11400,-
71Mustard Greens(ساگ سرسوں),-,-,-,-
72Carrot China,-,-,-,-
73Coriander (دھنیا),8800,9000,8900,-
74Mint(پودینہ),1000,1100,1050,-
75Turmeric Whole(ثابت ہلدی),-,-,-,-
76green chickpeas(چھولیا),-,-,-,-
77Green Onion,-,-,-,-
78Batho,-,-,-,-
79Potato Sugar free,-,-,-,-
80Tindian,-,-,-,-
81Suger Beet(چقندر),-,-,-,-
82Water chestnut(سنگھاڑا),-,-,-,-
83Apple Kala Kullu (Pahari),-,-,-,-
84Apple (Golden),-,-,-,-
85Apple (Ammre),-,-,-,-
86Banana(DOZEN),133,135,134,-
87Guava,-,-,-,-
88Orange(100Pcs),-,-,-,-
89Kinnow (100Pcs),-,-,-,-
90Pomegranate(Kandhari),-,-,-,-
91Grapes (Other),-,-,-,-
92Mango(Chounsa),20800,21000,20900,-
93Mango(Desahri),14700,15000,14850,-
94Mango(Sindhri),14700,15000,14850,-
95Pomegranate(Badana),-,-,-,-
96Musambi(100Pcs),-,-,-,-
97Grapefruit(100Pcs),-,-,-,-
98Mango(Anwer Ratol),17300,17500,17400,-
99Melon,-,-,-,-
100Watermelon,-,-,-,-
101Apple Kala Kullu (Madani),-,-,-,-
102Mango (Malda),-,-,-,-
103Lychee,-,-,-,-
104Strawberry,-,-,-,-
105Dates (Aseel),44800,45000,44900,-
106Apple (Gatcha),16300,16500,16400,-
107Lemon (Other),-,-,-,-
108Lemon (Desi),26800,27000,26900,-
109Lemon (China),-,-,-,-
110Peach,24800,25000,24900,-
111Peach Special,-,-,-,-
112Plum,34800,35000,34900,-
113Mango Saharni,-,-,-,-
114Mango Desi,7800,8000,7900,-
115Apricot Yellow,-,-,-,-
116Apricot White,17800,18000,17900,-
117Pomegranate Desi,-,-,-,-
118Grapes Gola,-,-,-,-
119Grapes Sundekhani,-,-,-,-
120Pear,6200,6400,6300,-
121Sweet Musk Melon,11800,12000,11900,-
122Sweet Musk Melon (Shireen),-,-,-,-
123Jaman,20800,21000,20900,-
124Persimmon(جاپانی پھل),-,-,-,-
125Sweet Potato(شکر قندی),-,-,-,-
126jujube(بیر),-,-,-,-
127Cocunut,-,-,-,-
128Papaya(پپیتا),-,-,-,-
129sugarcane(گنڈ یری),-,-,-,-
130feutral early(100 Pcs) فروٹر,-,-,-,-
131Loquat,-,-,-,-
132Dates(Irani),54800,55000,54900,-
